"","topic","name","user","star","fork","watch","commits","branches"
"243","Open-CV","OpenCVwithUVC","saki4510t","154","68","11","12","2"
"244","Open-CV","YOLOv3-Object-Detection-with-OpenCV","iArunava","149","98","5","24","1"
"245","Open-CV","OpenCV-Python","abidrahmank","148","89","18","31","1"
"246","Open-CV","Raspberry_Pi_2_and_OpenCV_3_Tutorial_Part_1","MicrocontrollersAndMore","143","99","41","17","1"
"247","Open-CV","OpenCV-Object-Face-Tracking","Mjrovai","142","129","5","9","1"
"248","Open-CV","Face-Yaw-Roll-Pitch-from-Pose-Estimation-using-OpenCV","jerryhouuu","142","33","8","14","1"
"249","Open-CV","OpenCVjs","sakiyamaK","139","19","22","92","1"
"250","Open-CV","OpenCVSample","jimple","137","57","13","22","1"
"251","Open-CV","OpenCV-Unity3D-Object-Tracking","hasanavi","136","67","25","23","1"
"252","Open-CV","OpenCV3-Computer-Vision-Application-Programming-Cookbook-Third-Edition","PacktPublishing","133","99","6","9","1"
"253","Open-CV","BackgroundSplit-OpenCV","upcAutoLang","132","104","8","6","1"
"254","Open-CV","OpenCV_3_KNN_Character_Recognition_Python","MicrocontrollersAndMore","128","117","18","7","1"
"255","Open-CV","OpenCV4AndroidWithCmake","Martin20150405","125","48","8","12","1"
"256","Open-CV","Learn-OpenCV-4-By-Building-Projects-Second-Edition","PacktPublishing","125","77","14","55","1"
"257","Open-CV","OpenCVBlueprints","OpenCVBlueprints","122","92","19","88","2"
"258","Open-CV","OpenCV-iOS-build-script","BloodAxe","122","22","10","17","1"
"259","Open-CV","OpenCV-iOS","Fl0p","118","41","12","29","1"
"260","Open-CV","Mastering-OpenCV-4-with-Python","PacktPublishing","115","82","17","103","1"
"261","Open-CV","OpenCV-Document-Scanner","andrewdcampbell","113","38","6","3","1"
"262","Open-CV","QtOpenCV","dbzhang800","111","56","12","82","1"
"263","Open-CV","HoloLensWithOpenCVForUnityExample","EnoxSoftware","111","31","17","34","1"
"264","Open-CV","OpenCVHandGuesture","jujojujo2003","109","80","10","3","1"
"265","Open-CV","OpenCVCheck","SOFTPOWER1991","109","34","8","9","1"
"266","Open-CV","LSD-OpenCV-MATLAB","primetang","108","44","14","70","2"
"267","Open-CV","OpenCV-3-Computer-Vision-with-Python-Cookbook","PacktPublishing","108","80","13","7","1"
"268","Open-CV","OpenCV-iOS","jonmarimba","106","40","8","26","1"
"269","Open-CV","Python-OpenCV3","ashwin-pajankar","105","103","19","7","1"
"270","Open-CV","OpenCV_3_License_Plate_Recognition_Cpp","MicrocontrollersAndMore","105","86","21","21","1"
"271","Open-CV","Face-Detection-OpenCV","informramiz","103","85","11","14","1"
"272","Open-CV","OpenCV-Features-Comparison","BloodAxe","102","61","27","34","1"
"273","Open-CV","Cinder-OpenCV","cinder","101","80","16","60","2"
"274","Open-CV","OpenCV-demo","wepe","96","125","11","11","1"
"275","Open-CV","OpenCV.jl","maxruby","96","27","15","50","3"
"276","Open-CV","OpenCV_Test","fengbingchun","95","58","12","134","1"
"277","Open-CV","OpenCV-detection-models","AlexeyAB","90","51","14","5","2"
"278","Open-CV","cvpr2015-opensfm","mleotta","90","43","22","102","3"
"279","Open-CV","OpenCV4Android","jiangdongguo","86","36","1","22","1"
"280","Open-CV","OpenCVSample","ura14h","84","18","4","42","1"
"281","Open-CV","openCV_Tesseract_test","chd0043","83","40","14","3","1"
"282","Open-CV","OpenCVStitch","foundry","83","21","13","14","1"
"283","Open-CV","OpenCV-Practical-Exercise","luohenyueji","81","52","4","36","1"
"284","Open-CV","iOS-OpenCV","lukagabric","81","32","14","5","1"
"285","Open-CV","AIR-OpenCV-Extension","wouterverweirder","81","22","17","3","1"
"286","Open-CV","OpenCV-3.1.0-Android","ctodobom","81","31","4","4","1"
"287","Open-CV","iOS-OpenCV-FaceRec","ekurutepe","79","102","4","10","1"
"288","Open-CV","Selfie_Filters_OpenCV","acl21","79","30","5","15","1"
"289","Open-CV","1ZLAB_OpenCV_Tutorial","1zlab","79","24","9","34","1"
"290","Open-CV","OpenCV-Python-Hacks","simondlevy","77","48","4","66","1"
"291","Open-CV","Xamarin.Android.OpenCV","jeremy-ellis-tech","77","38","19","17","3"
"292","Open-CV","OpenCV_3_Car_Counting_Cpp","MicrocontrollersAndMore","74","73","15","7","1"
"293","Open-CV","OpenCV-Traffic-Counter","alex-drake","70","48","6","42","1"
"294","Open-CV","OpenCV3Cookbook","laganiere","69","58","2","60","1"
"295","Open-CV","NDK_OpenCV_AndroidStudio","quanhua92","69","31","9","5","1"
"296","Open-CV","OpenCV-RgbdOdometry","tzutalin","69","25","6","15","1"
"297","Open-CV","Caffe_OpenCV_Android_App","alexkarargyris","69","29","7","16","2"
"298","Open-CV","SelfDrivingRCCar","sidroopdaska","69","30","9","38","1"
"299","Open-CV","Hand-Gesture-Recognition-Using-Background-Elllimination-and-Convolution-Neural-Network","SparshaSaha","69","35","2","38","1"
"300","Open-CV","OpenCV-3-x-with-Python-By-Example","PacktPublishing","68","70","10","4","1"
"301","Computer-Vision","opencv","opencv","43.9k","34.9k","2.6k","28,489","3"
"302","Computer-Vision","openpose","CMU-Perceptual-Computing-Lab","16.7k","5k","871","609","3"
"303","Computer-Vision","cs-video-courses","Developer-Y","14.6k","2k","765","223","1"
"304","Computer-Vision","Virgilio","virgili0","12.5k","2.5k","873","1,181","2"
"305","Computer-Vision","awesome-computer-vision","jbhuang0604","12.2k","3.1k","1.1k","186","1"
"306","Computer-Vision","pytorch-CycleGAN-and-pix2pix","junyanz","11.6k","3.4k","311","445","3"
"307","Computer-Vision","facenet","davidsandberg","10.4k","4.2k","581","566","5"
"308","Computer-Vision","learnopencv","spmallick","10.2k","6.7k","842","857","2"
"309","Computer-Vision","AirSim","microsoft","9.8k","2.6k","567","2,072","2"
"310","Computer-Vision","Awesome-pytorch-list","bharathgs","9.7k","2.1k","572","714","1"
"311","Computer-Vision","CycleGAN","junyanz","9.6k","1.6k","401","95","1"
"312","Computer-Vision","caire","esimov","9.3k","338","175","228","1"
"313","Computer-Vision","awesome-deep-vision","kjw0612","9k","2.6k","1.1k","206","2"
"314","Computer-Vision","dlib","davisking","8.9k","2.7k","504","7,794","1"
"315","Computer-Vision","Dive-into-DL-PyTorch","ShusenTang","8.5k","2.6k","293","240","1"
"316","Computer-Vision","tracking.js","eduardolundgren","8.4k","1.3k","305","360","4"
"317","Computer-Vision","openFrameworks","openframeworks","7.7k","2.4k","547","16,470","6"
"318","Computer-Vision","pix2pix","phillipi","7.6k","1.3k","307","129","1"
"319","Computer-Vision","fashion-mnist","zalandoresearch","7.6k","1.7k","291","204","1"
"320","Computer-Vision","deep-learning-drizzle","kmario23","7.6k","1.8k","489","117","1"
"321","Computer-Vision","ccv","liuliu","6.6k","1.7k","368","2,187","11"
"322","Computer-Vision","ludwig","uber","6.6k","784","181","1,029","10"
"323","Computer-Vision","mediapipe","google","6.4k","1.2k","281","59","2"
"324","Computer-Vision","vision","pytorch","6.1k","3.1k","259","968","45"
"325","Computer-Vision","BossSensor","Hironsan","5.9k","1.1k","280","61","1"
"326","Computer-Vision","EasyPR","liuruoze","5.6k","2.4k","543","582","2"
"327","Computer-Vision","ailab","microsoft","5.4k","946","384","123","1"
"328","Computer-Vision","awesome-object-detection","amusi","5.3k","1.6k","411","85","1"
"329","Computer-Vision","pcl","PointCloudLibrary","4.9k","3.3k","425","12,442","1"
"330","Computer-Vision","TensorFlow-2.x-Tutorials","dragen1860","4.8k","1.6k","200","248","1"
"331","Computer-Vision","CVPR2020-Paper-Code-Interpretation","extreme-assistant","4.8k","1.2k","234","163","1"
"332","Computer-Vision","ImageAI","OlafenwaMoses","4.7k","1.4k","256","277","2"
"333","Computer-Vision","d2l-en","d2l-ai","4.6k","1.2k","183","2,498","13"
"334","Computer-Vision","labelme","wkentaro","4.5k","1.4k","113","1,105","4"
"335","Computer-Vision","TensorFlow-World","astorfi","4.5k","423","172","671","1"
"336","Computer-Vision","pix2pixHD","NVIDIA","4.5k","913","159","40","1"
"337","Computer-Vision","models","PaddlePaddle","4.5k","2.1k","242","4,278","26"
"338","Computer-Vision","carla","carla-simulator","4.3k","1.2k","199","3,875","52"
"339","Computer-Vision","Realtime_Multi-Person_Pose_Estimation","ZheC","4.3k","1.3k","255","162","1"
